No.;Time;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter;;
1;0;;0;0,661906;30,762271;;60,862636;-63,048188;-123,910824;;
2;0,661906;;0,661906;2,847458;-30,100365;;-63,048188;62,333026;125,381214;;
4;2,847458;;2,847458;3,56262;32,947823;;62,333026;-64,330683;-126,663709;;
5;3,56262;;3,56262;5,560277;-29,385203;;-64,330683;64,226363;128,557046;;
7;5,560277;;5,560277;5,664597;34,94548;;64,226363;-66,427888;-130,654251;;
8;5,664597;;5,664597;7,866122;-29,280883;;-66,427888;65,53867;131,966558;;
10;7,866122;;7,866122;8,75534;37,147005;;65,53867;-66,698679;-132,237349;;
12;8,75534;;8,75534;9,915349;-28,391665;;-66,698679;66,698385;133,397064;;
14;9,915349;;9,915349;9,915643;38,307014;;66,698385;-67,06521;-133,763595;;
15;9,915643;;9,915643;10,282468;-28,391371;;-67,06521;66,681664;133,746874;;
16;10,282468;;10,282468;10,666014;38,673839;;66,681664;-67,263176;-133,94484;;
18;10,666014;;10,666014;11,247526;-28,007825;;-67,263176;67,075568;134,338744;;
19;11,247526;;11,247526;11,435134;39,255351;;67,075568;-67,705506;-134,781074;;
20;11,435134;;11,435134;12,065072;-27,820217;;-67,705506;66,799438;134,504944;;
22;12,065072;;12,065072;12,97114;39,885289;;66,799438;-67,739124;-134,538562;;
23;12,97114;;12,97114;13,910826;-26,914149;;-67,739124;67,142156;134,88128;;
26;13,910826;;13,910826;14,507794;40,824975;;67,142156;-67,419617;-134,561773;;
27;14,507794;;14,507794;14,785255;-26,317181;;-67,419617;66,560463;133,98008;;
29;14,785255;;14,785255;15,644409;41,102436;;66,560463;-66,643496;-133,203959;;
31;15,644409;;15,644409;15,727442;-25,458027;;-66,643496;66,326994;132,97049;;
32;15,727442;;15,727442;16,043944;41,185469;;66,326994;-69,386319;-135,713313;;
35;16,043944;;16,043944;19,103269;-25,141525;;-69,386319;69,275671;138,66199;;
39;19,103269;;19,103269;19,213917;44,244794;;69,275671;-69,275836;-138,551507;;
42;19,213917;;19,213917;19,214082;-25,030877;;-69,275836;69,242776;138,518612;;
43;19,214082;;19,214082;19,247142;44,244959;;69,242776;-70,365442;-139,608218;;
44;19,247142;;19,247142;20,369808;-24,997817;;-70,365442;70,365357;140,730799;;
46;20,369808;;20,369808;20,369893;45,367625;;70,365357;-70,365494;-140,730851;;
47;20,369893;;20,369893;20,37003;-24,997732;;-70,365494;70,365454;140,730948;;
48;20,37003;;20,37003;20,37007;45,367762;;70,365454;-71,800218;-142,165672;;
50;20,37007;;20,37007;21,804834;-24,997692;;-71,800218;71,799987;143,600205;;
56;21,804834;;21,804834;21,805065;46,802526;;71,799987;-71,800151;-143,600138;;
57;21,805065;;21,805065;21,805229;-24,997461;;-71,800151;71,547332;143,347483;;
58;21,805229;;21,805229;22,058048;46,80269;;71,547332;-72,11196;-143,659292;;
59;22,058048;;22,058048;22,622676;-24,744642;;-72,11196;72,11196;144,22392;;
60;22,622676;;22,622676;22,622676;47,367318;;72,11196;-72,112123;-144,224083;;
61;22,622676;;22,622676;22,622839;-24,744642;;-72,112123;72,112031;144,224154;;
62;22,622839;;22,622839;22,622931;47,367481;;72,112031;-72,112092;-144,224123;;
63;22,622931;;22,622931;22,622992;-24,74455;;-72,112092;72,112092;144,224184;;
64;22,622992;;22,622992;22,622992;47,367542;;72,112092;-72,112157;-144,224249;;
65;22,622992;;22,622992;22,623057;-24,74455;;-72,112157;72,112109;144,224266;;
66;22,623057;;22,623057;22,623105;47,367607;;72,112109;-72,112234;-144,224343;;
67;22,623105;;22,623105;22,62323;-24,744502;;-72,112234;72,11199;144,224224;;
